brewery_id,sku_id,available_inv
BWY001,SKU001,1020.0
BWY001,SKU002,0.0
BWY001,SKU003,0.0
BWY001,SKU004,0.0
BWY001,SKU005,0.0
BWY001,SKU006,128.0
BWY001,SKU007,12744.0
BWY001,SKU008,28222.0
BWY001,SKU009,4117.0
BWY001,SKU010,84.0
BWY001,SKU011,0.0
BWY001,SKU012,0.0
BWY001,SKU013,0.0
BWY001,SKU014,0.0
BWY001,SKU015,0.0
BWY001,SKU016,0.0
BWY001,SKU017,0.0
BWY001,SKU018,0.0
BWY001,SKU019,1699.0
BWY001,SKU020,0.0
BWY001,SKU021,0.0
BWY001,SKU022,450.0
BWY001,SKU023,1168.0
BWY001,SKU024,350.0
BWY001,SKU025,0.0
BWY001,SKU026,0.0
BWY001,SKU027,0.0
BWY001,SKU028,180.0
BWY001,SKU029,0.0
BWY001,SKU030,6650.0
BWY001,SKU031,27.0
BWY001,SKU032,0.0
BWY001,SKU033,7941.777777777777
BWY001,SKU034,0.0
BWY001,SKU035,10540.0
BWY001,SKU036,22928.421052631576
BWY001,SKU037,3196.0
BWY001,SKU038,127214.0
BWY001,SKU039,0.0
BWY001,SKU040,0.0
BWY001,SKU041,0.0
BWY001,SKU042,2971.0
BWY001,SKU043,0.0
BWY001,SKU044,74536.0
BWY001,SKU045,3007.0
BWY001,SKU046,0.0
BWY001,SKU047,46430.0
BWY001,SKU048,19200.0
BWY001,SKU049,5467.0
BWY001,SKU050,5402.0
BWY001,SKU051,11044.0
BWY001,SKU052,5732.0
BWY001,SKU053,14004.0
BWY001,SKU054,0.0
BWY001,SKU055,0.0
BWY001,SKU056,0.0
BWY001,SKU057,319.0
BWY001,SKU058,0.0
BWY001,SKU059,0.0
BWY001,SKU060,0.0
BWY001,SKU061,0.0
BWY001,SKU062,13681.0
BWY001,SKU063,69572.0
BWY001,SKU064,42487.84210526316
BWY001,SKU065,373.0
BWY001,SKU066,12933.0
BWY001,SKU067,2.0
BWY001,SKU068,47.0
BWY001,SKU069,0.0
BWY001,SKU070,0.0
BWY001,SKU071,0.0
BWY001,SKU072,6780.0
BWY001,SKU073,875.0
BWY001,SKU074,7.0
BWY001,SKU075,3.0
BWY001,SKU076,8040.0
BWY001,SKU077,0.0
BWY001,SKU078,10540.0
BWY001,SKU079,0.0
BWY001,SKU080,0.0
BWY001,SKU081,0.0
BWY001,SKU082,0.0
BWY001,SKU083,36246.66666666666
BWY001,SKU084,5824.0
BWY001,SKU085,0.0
BWY001,SKU086,0.0
BWY001,SKU087,0.0
BWY001,SKU088,290.0
BWY001,SKU089,0.0
BWY001,SKU090,0.0
BWY001,SKU091,21.0
BWY001,SKU092,2.0
BWY001,SKU093,0.0
BWY001,SKU094,144.0
BWY001,SKU095,0.0
BWY001,SKU096,0.0
BWY001,SKU097,0.0
BWY001,SKU098,0.0
BWY001,SKU099,10952.0
BWY001,SKU100,13557.0
BWY001,SKU101,6908.0
BWY001,SKU102,3558.0
BWY001,SKU103,608.0
BWY001,SKU104,0.0
BWY002,SKU001,0.0
BWY002,SKU002,0.0
BWY002,SKU003,840.0
BWY002,SKU004,0.0
BWY002,SKU005,0.0
BWY002,SKU006,0.0
BWY002,SKU007,23.0
