dc_id,sku_id,mean_sale
DC003,SKU006,0.0
DC003,SKU007,0.25
DC003,SKU008,142.0
DC003,SKU009,0.0
DC003,SKU010,695.5
DC003,SKU011,0.0
DC003,SKU012,301.75
DC003,SKU013,13.75
DC003,SKU014,0.0
DC003,SKU015,0.0
DC003,SKU016,0.0
DC003,SKU017,0.0
DC003,SKU018,0.0
DC003,SKU019,8.25
DC003,SKU020,18.0
DC003,SKU021,41.0
DC003,SKU022,0.0
DC003,SKU023,0.0
DC003,SKU024,0.0
DC003,SKU025,0.0
DC003,SKU026,0.0
DC003,SKU027,268.5
DC003,SKU028,0.0
DC003,SKU029,0.0
DC003,SKU030,197.75
DC003,SKU031,0.0
DC003,SKU032,0.0
DC003,SKU033,70.5
DC003,SKU034,0.0
DC003,SKU035,171.25
DC003,SKU036,578.75
DC003,SKU037,526.25
DC003,SKU038,1582.5
DC003,SKU039,6.0
DC003,SKU040,475.0
DC003,SKU041,303.0
DC003,SKU042,0.0
DC003,SKU043,0.0
DC003,SKU044,1541.75
DC003,SKU045,55.25
DC003,SKU046,377.0
DC003,SKU047,59.5
DC003,SKU048,0.0
DC003,SKU049,80.25
DC003,SKU050,0.0
DC003,SKU051,0.0
DC003,SKU052,0.0
DC003,SKU053,0.0
DC003,SKU054,7.25
DC003,SKU055,0.0
DC003,SKU056,0.0
DC003,SKU057,0.0
DC003,SKU058,15.0
DC003,SKU059,0.0
DC003,SKU060,31.0
DC003,SKU061,0.0
DC003,SKU062,560.5
DC003,SKU063,3791.25
DC003,SKU064,1395.75
DC003,SKU065,1143.0
DC003,SKU066,2.0
DC003,SKU067,0.0
DC003,SKU068,0.0
DC003,SKU069,0.0
DC003,SKU070,0.0
DC003,SKU071,1.0
DC003,SKU072,115.5
DC003,SKU073,0.0
DC003,SKU074,65.75
DC003,SKU075,48.5
DC003,SKU076,3.0
DC003,SKU077,0.0
DC003,SKU078,0.5
DC003,SKU079,201.75
DC003,SKU080,0.0
DC003,SKU081,0.0
DC003,SKU082,0.0
DC003,SKU083,384.5
DC003,SKU084,524.75
DC003,SKU085,2.0
DC003,SKU086,0.0
DC003,SKU087,6.25
DC003,SKU088,0.0
DC003,SKU089,0.0
DC003,SKU090,0.0
DC003,SKU091,91.5
DC003,SKU092,85.75
DC003,SKU093,0.0
DC003,SKU094,0.0
DC003,SKU095,0.0
DC003,SKU096,0.0
DC003,SKU097,20.0
DC003,SKU098,71.0
DC003,SKU099,226.0
DC003,SKU100,168.5
DC003,SKU101,140.5
DC003,SKU102,55.0
DC003,SKU103,0.0
DC003,SKU104,0.0
DC004,SKU001,0.0
DC004,SKU002,0.0
DC004,SKU003,0.0
DC004,SKU004,0.0
DC004,SKU005,0.0
DC004,SKU006,0.0
DC004,SKU007,3.75
DC004,SKU008,156.25
DC004,SKU009,0.0
DC004,SKU010,0.0
DC004,SKU011,0.0
DC004,SKU012,0.0
DC004,SKU013,53.0
DC004,SKU014,0.0
DC004,SKU015,0.0
DC004,SKU016,0.0
DC004,SKU017,0.0
DC004,SKU018,0.0
DC004,SKU019,39.5
DC004,SKU020,10.0
DC004,SKU021,249.25
DC004,SKU022,0.0
DC004,SKU023,0.0
DC004,SKU024,0.0
DC004,SKU025,0.0
DC004,SKU026,0.0
DC004,SKU027,0.0
DC004,SKU028,0.0
DC004,SKU029,23.25
DC004,SKU030,92.5
DC004,SKU031,12.0
DC004,SKU032,0.0
DC004,SKU033,190.25
DC004,SKU034,0.0
DC004,SKU035,21.0
DC004,SKU036,139.75
DC004,SKU037,1276.25
DC004,SKU038,3797.0
DC004,SKU039,5.0
DC004,SKU040,884.0
DC004,SKU041,96.25
DC004,SKU042,13.0
DC004,SKU043,0.0
DC004,SKU044,1022.25
DC004,SKU045,0.0
DC004,SKU046,0.0
DC004,SKU047,211.25
