dc_id,sku_id,target_doi
DC007,SKU051,3.0
DC007,SKU052,3.0
DC007,SKU053,4.148359402013002
DC007,SKU054,19.823996506459817
DC007,SKU055,3.0
DC007,SKU056,3.0
DC007,SKU057,3.0
DC007,SKU058,9.438334764964198
DC007,SKU059,3.0
DC007,SKU060,3.0
DC007,SKU061,3.0
DC007,SKU062,4.121945358299763
DC007,SKU063,3.7138037750058888
DC007,SKU064,3.0115201935562657
DC007,SKU065,6.602366232868795
DC007,SKU066,3.0
DC007,SKU067,3.0
DC007,SKU068,3.0
DC007,SKU069,3.0
DC007,SKU070,3.0
DC007,SKU071,3.0
DC007,SKU072,6.927238506314902
DC007,SKU073,3.0
DC007,SKU074,8.752945973750128
DC007,SKU075,3.0
DC007,SKU076,3.0
DC007,SKU077,15.1324740485592
DC007,SKU078,9.148934140177616
DC007,SKU079,3.955057164093812
DC007,SKU080,3.0
DC007,SKU081,3.0
DC007,SKU082,3.0
DC007,SKU083,3.471335601533564
DC007,SKU084,9.60896860614334
DC007,SKU085,4.162267602495874
DC007,SKU086,3.0
DC007,SKU087,3.0
DC007,SKU088,3.0
DC007,SKU089,3.0
DC007,SKU090,3.0
DC007,SKU091,3.0
DC007,SKU092,3.0
DC007,SKU093,3.0
DC007,SKU094,3.0
DC007,SKU095,3.0
DC007,SKU096,3.0
DC007,SKU097,27.99310915686836
DC007,SKU098,2.5530217268027764
DC007,SKU099,6.98797128927725
DC007,SKU100,4.355393811750017
DC007,SKU101,3.366497693274777
DC007,SKU102,3.0
DC007,SKU103,3.0
DC007,SKU104,3.0
DC008,SKU001,3.0
DC008,SKU002,3.0
DC008,SKU003,3.0
DC008,SKU004,3.0
DC008,SKU005,3.0
DC008,SKU006,3.0
DC008,SKU007,5.203529121461928
DC008,SKU008,5.453623739191577
DC008,SKU009,3.0
DC008,SKU010,5.815712601012612
DC008,SKU011,3.0
DC008,SKU012,3.0
DC008,SKU013,3.299722066259495
DC008,SKU014,3.0
DC008,SKU015,3.0
DC008,SKU016,3.0
DC008,SKU017,3.0
DC008,SKU018,3.0
DC008,SKU019,9.479865325869582
DC008,SKU020,3.0
DC008,SKU021,58.61903427969967
DC008,SKU022,3.0
DC008,SKU023,3.0
DC008,SKU024,3.0
DC008,SKU025,3.0
DC008,SKU026,3.0
DC008,SKU027,3.0
DC008,SKU028,3.0
DC008,SKU029,3.0230040668720206
DC008,SKU030,5.1985744283049975
DC008,SKU031,3.0
DC008,SKU032,3.0
DC008,SKU033,4.395315208456356
DC008,SKU034,3.0
DC008,SKU035,9.575293803922616
DC008,SKU036,3.4698167219618457
DC008,SKU037,4.431318966828126
DC008,SKU038,3.809279224820505
DC008,SKU039,3.0
DC008,SKU040,4.2723525826257305
DC008,SKU041,3.0
DC008,SKU042,2.8826534247015867
DC008,SKU043,3.0
DC008,SKU044,4.379567618660375
DC008,SKU045,8.673633201705375
DC008,SKU046,3.0
DC008,SKU047,4.556002217589728
DC008,SKU048,3.0
DC008,SKU049,5.139142325327713
DC008,SKU050,3.0
DC008,SKU051,3.0
DC008,SKU052,3.0
DC008,SKU053,3.0
DC008,SKU054,3.934551310958693
DC008,SKU055,3.0
DC008,SKU056,3.0
DC008,SKU057,3.0
DC008,SKU058,13.089368853894335
DC008,SKU059,3.0
DC008,SKU060,4.070791642233788
DC008,SKU061,3.0
DC008,SKU062,7.296544348405273
DC008,SKU063,3.863332447390765
DC008,SKU064,3.83638004008547
DC008,SKU065,6.418997991126525
DC008,SKU066,9.110911742246005
DC008,SKU067,3.0
DC008,SKU068,3.0
DC008,SKU069,3.0
DC008,SKU070,3.0
DC008,SKU071,3.0
DC008,SKU072,2.307540046398573
DC008,SKU073,3.0
DC008,SKU074,3.2845505648861955
DC008,SKU075,3.0
DC008,SKU076,3.0
DC008,SKU077,19.889412469643982
DC008,SKU078,4.578932069247616
DC008,SKU079,4.225179780270525
DC008,SKU080,3.0
DC008,SKU081,3.0
DC008,SKU082,3.0
DC008,SKU083,4.360908175674595
DC008,SKU084,5.775191517680802
DC008,SKU085,3.5164548214139604
DC008,SKU086,3.0
DC008,SKU087,3.0
DC008,SKU088,3.0
DC008,SKU089,3.0
DC008,SKU090,3.0
DC008,SKU091,3.0
DC008,SKU092,3.0
DC008,SKU093,3.0
DC008,SKU094,3.0
DC008,SKU095,3.0
DC008,SKU096,3.0
DC008,SKU097,3.349063956627642
DC008,SKU098,15.293673987900668
DC008,SKU099,6.865726233837498
DC008,SKU100,2.828338883960503
DC008,SKU101,15.40364739956522
DC008,SKU102,3.0
DC008,SKU103,3.0
DC008,SKU104,3.0
DC009,SKU001,3.0
DC009,SKU002,3.0
DC009,SKU003,3.0
DC009,SKU004,3.0
DC009,SKU005,3.0
DC009,SKU006,3.0
DC009,SKU007,3.678760893622402
DC009,SKU008,6.198709321510575
DC009,SKU009,3.0
DC009,SKU010,5.536127003873545
DC009,SKU011,3.0
DC009,SKU012,5.272237763566023
DC009,SKU013,6.119509495915252
DC009,SKU014,3.0
DC009,SKU015,3.0
DC009,SKU016,3.0
DC009,SKU017,3.0
DC009,SKU018,3.0
DC009,SKU019,3.0
DC009,SKU020,3.0
DC009,SKU021,5.594659346934927
DC009,SKU022,3.0
DC009,SKU023,3.0
DC009,SKU024,3.0
DC009,SKU025,3.0
DC009,SKU026,3.0
DC009,SKU027,3.0
DC009,SKU028,3.0
DC009,SKU029,18.50762094697107
DC009,SKU030,3.0
DC009,SKU031,3.0
DC009,SKU032,3.0
DC009,SKU033,9.748616685391434
DC009,SKU034,3.0
DC009,SKU035,7.365392055652845
DC009,SKU036,8.610453404456775
DC009,SKU037,5.93061438041954
DC009,SKU038,5.900141322999154
DC009,SKU039,3.0
DC009,SKU040,13.95778347254408
DC009,SKU041,4.703653218831958
DC009,SKU042,3.0
DC009,SKU043,3.0
DC009,SKU044,4.787370794681344
DC009,SKU045,5.579613193578405
DC009,SKU046,3.0
DC009,SKU047,6.489923440785061
DC009,SKU048,3.0
DC009,SKU049,5.802700745104724
DC009,SKU050,3.0
DC009,SKU051,3.0
DC009,SKU052,3.0
DC009,SKU053,3.0
DC009,SKU054,13.43106137703136
DC009,SKU055,3.0
DC009,SKU056,3.0
DC009,SKU057,3.0
DC009,SKU058,23.055375257321074
DC009,SKU059,3.0
DC009,SKU060,3.0
DC009,SKU061,3.0
DC009,SKU062,12.073776057142828
DC009,SKU063,5.654889471307023
DC009,SKU064,4.8117932082983605
DC009,SKU065,4.416249918850949
DC009,SKU066,4.122873432872488
DC009,SKU067,3.0
DC009,SKU068,3.0
DC009,SKU069,3.0
DC009,SKU070,3.0
DC009,SKU071,3.0
DC009,SKU072,5.211706489045085
DC009,SKU073,3.0
DC009,SKU074,5.879324552305865
DC009,SKU075,3.0
DC009,SKU076,3.0
DC009,SKU077,4.089034294557251
DC009,SKU078,3.0
DC009,SKU079,3.0
DC009,SKU080,3.0
DC009,SKU081,3.0
DC009,SKU082,3.0
DC009,SKU083,4.515599759033407
DC009,SKU084,4.816188685265959
DC009,SKU085,3.0
DC009,SKU086,3.0
DC009,SKU087,3.0
DC009,SKU088,3.0
DC009,SKU089,3.0
DC009,SKU090,3.0
DC009,SKU091,3.0
DC009,SKU092,3.0
DC009,SKU093,3.0
DC009,SKU094,3.0
DC009,SKU095,3.0
DC009,SKU096,3.0
DC009,SKU097,3.0
DC009,SKU098,3.0
DC009,SKU099,5.0039736747069865
DC009,SKU100,19.035206768365104
DC009,SKU101,3.8926982654247295
DC009,SKU102,4.764932322138413
DC009,SKU103,3.0
DC009,SKU104,3.0
DC010,SKU001,3.0
DC010,SKU002,3.0
DC010,SKU003,3.0
DC010,SKU004,3.0
DC010,SKU005,3.0
DC010,SKU006,3.0
DC010,SKU007,3.2909410136338444
